day,date,week,vaccination1_accum,vaccination1_today,vaccination2_accum,vaccination2_today
307,2020-12-27,52,6589,6589,,
308,2020-12-28,53,8465,1984,,
309,2020-12-29,53,17402,8937,,
310,2020-12-30,53,28862,11460,,
311,2020-12-31,53,35044,6182,,
312,2021-01-01,53,37381,2337,,
313,2021-01-02,53,46247,8866,,
314,2021-01-03,53,52258,6011,,
315,2021-01-04,1,54659,2401,,
316,2021-01-05,1,68179,13520,,
317,2021-01-06,1,87945,19766,,
318,2021-01-07,1,105461,17516,,
319,2021-01-08,1,113945,8484,,
320,2021-01-09,1,115844,1899,,
321,2021-01-10,1,116657,813,,
322,2021-01-11,2,117314,657,,
323,2021-01-12,2,117776,462,,
324,2021-01-13,2,130514,12738,,
325,2021-01-14,2,148446,17932,,
326,2021-01-15,2,163679,15233,5,5
327,2021-01-16,2,168294,4615,12,7
328,2021-01-17,2,170832,2538,728,716
329,2021-01-18,3,174724,3892,2870,2142
330,2021-01-19,3,177213,2489,4967,2097
331,2021-01-20,3,178722,1509,6861,1894
332,2021-01-21,3,180251,1529,9222,2361
333,2021-01-22,3,180915,664,14899,5677
334,2021-01-23,3,181686,771,22037,7138
335,2021-01-24,3,182298,612,28611,6574
336,2021-01-25,4,182552,254,31070,2459
337,2021-01-26,4,182766,214,32827,1757
338,2021-01-27,4,182977,211,37197,4370
339,2021-01-28,4,183219,242,45320,8123
340,2021-01-29,4,184352,1133,63660,18340
341,2021-01-30,4,185581,1229,76697,13037
342,2021-01-31,4,186839,1258,89041,12344
343,2021-02-01,5,187592,753,96932,7891
344,2021-02-02,5,189643,2051,99962,3030
345,2021-02-03,5,191196,1553,106153,6191
346,2021-02-04,5,192631,1435,117088,10935
347,2021-02-05,5,194213,1582,130585,13497
348,2021-02-06,5,195247,1034,137281,6696
349,2021-02-07,5,197159,1912,140924,3643
350,2021-02-08,6,199705,2546,147984,7060
351,2021-02-09,6,203257,3552,152903,4919
352,2021-02-10,6,206536,3279,156824,3921
353,2021-02-11,6,212181,5645,159280,2456
354,2021-02-12,6,224172,11991,166879,7599
355,2021-02-13,6,230730,6558,167859,980
356,2021-02-14,6,236951,6221,168490,631
357,2021-02-15,7,250751,13800,171620,3130
358,2021-02-16,7,263930,13179,172946,1326
359,2021-02-17,7,274322,10392,173369,423
360,2021-02-18,7,285721,11399,173670,301
361,2021-02-19,7,299491,13770,174619,949
362,2021-02-20,7,310006,10515,175195,576
364,2021-02-22,8,320905,10899,175555,360
365,2021-02-23,8,334458,13553,176629,1074
366,2021-02-24,8,348333,13875,178433,1804
367,2021-02-25,8,362158,13825,180439,2006
368,2021-02-26,8,375794,13636,181084,645
369,2021-02-27,8,412358,36564,182074,990
370,2021-02-28,8,418870,6512,183106,1032
371,2021-03-01,9,429887,11017,184435,1329
372,2021-03-02,9,449723,19836,185677,1242
373,2021-03-03,9,466430,16707,187020,1343
374,2021-03-04,9,479252,12822,188169,1149
375,2021-03-05,9,495666,16414,189971,1802
376,2021-03-06,9,512731,17065,195193,5222
377,2021-03-07,9,527469,14738,199176,3983
378,2021-03-08,10,539710,12241,203516,4340
379,2021-03-09,10,549062,9352,210098,6582
380,2021-03-10,10,560656,11594,217470,7372
381,2021-03-11,10,572040,11384,224590,7120
382,2021-03-12,10,576897,4857,232566,7976
383,2021-03-13,10,580539,3642,243527,10961
384,2021-03-14,10,584718,4179,249323,5796
385,2021-03-15,11,586153,1435,258786,9463
386,2021-03-16,11,589139,2986,268653,9867
387,2021-03-17,11,595943,6804,277951,9298
388,2021-03-18,11,606376,10433,286878,8927
389,2021-03-19,11,621011,14635,294013,7135
390,2021-03-20,11,628897,7886,306288,12275
391,2021-03-21,11,631860,2963,311260,4972
392,2021-03-22,12,636664,4804,316068,4808
393,2021-03-23,12,640688,4024,323878,7810
394,2021-03-24,12,647000,6312,331561,7683
395,2021-03-25,12,656737,9737,345070,13509
396,2021-03-26,12,664226,7489,353591,8521
397,2021-03-27,12,670795,6569,361624,8033
398,2021-03-28,12,680828,10033,364798,3174
399,2021-03-29,13,691650,10822,367547,2749
400,2021-03-30,13,709298,17648,373611,6064
401,2021-03-31,13,730827,21529,379555,5944
402,2021-04-01,13,744088,13261,389589,10034
403,2021-04-02,13,748324,4236,396713,7124
404,2021-04-03,13,753232,4908,403764,7051
405,2021-04-04,13,765379,12147,405967,2203
